Date,MSFT,TSLA,NVDA,IBM,INTC
2019-03-25,,,,,
2019-03-26,0.002124747345198,0.028223624718877,0.017781227221164,0.007472597483064,0.012504715012935
2019-03-27,-0.009668455875876,0.02636592287408,-0.002091760046807,-0.006989176085883,-0.00523957944238
2019-03-28,0.001370396516562,0.013790332193248,0.004248886025194,0.004883628903934,-0.000940487467638
2019-03-29,0.008637623914737,0.004450491478389,0.013032388706968,0.00843334937913,0.011108962224171
2019-04-01,0.009157143696474,0.033302405197562,0.015148432038751,0.015591962062797,0.015083654496729
2019-04-02,0.001428291475959,-0.011411640419353,0.003949856144677,-0.002093764170574,-0.002751666946649
2019-04-03,0.006544209853792,0.020743017324461,0.030710214452195,0.00440574829868,0.020603454122307
2019-04-04,-0.005084612951838,-0.082348162395035,-0.001908189755702,-0.005918044460822,0.007930534132307
2019-04-05,0.004440200667326,0.026813143183958,0.014288376094924,0.00350202236349,-0.005722402175444
2019-04-08,0.000333717078783,-0.006400987082008,0.004399186319545,0.000767571528425,0.00143901237408
2019-04-09,-0.005419712934745,-0.003257712404775,-0.013191438726218,-0.008926528714729,-0.0064656573802
2019-04-10,0.007628958340979,0.013771070245991,0.015005509514367,0.006403572800359,0.007772974308006
2019-04-11,0.001164892729547,-0.027675107337592,-0.002914834103559,0.005313676133606,0.00089695295923
2019-04-12,0.005152558899547,-0.002682382218895,-0.007988077107656,0.003964229182082,0.011110970782206
2019-04-15,0.000826847303946,-0.004930856117048,-0.027945863993931,-0.003117365856405,-0.00248137873006
2019-04-16,-0.002313433204262,0.026203202008537,0.019003558415351,0.008617223983387,0.007640699453874
2019-04-17,0.008280330892249,-0.007791933226055,-0.00488793643529,-0.041545990747428,0.032621953303298
2019-04-18,0.013139608749189,0.007484354720841,-0.005285811155181,0.00876983471561,-0.001195537782153
2019-04-22,0.003161338296388,-0.038461526380808,0.011647703749747,-0.010261457335272,0.005641906243041
2019-04-23,0.013574434154408,0.004376739071872,0.011673316738223,0.011159906235134,-0.000680005792892
2019-04-24,-0.003427736219087,-0.019855977462206,0.002621947140321,-0.003488890284645,-0.001020590373315
