Date,AAPL,MSFT,GOOGL,AMZN,TSLA,META,NFLX,NVDA,IBM,INTC
2019-03-25,45.21147537231445,111.15105438232422,59.584129333496094,88.71299743652344,17.3613338470459,165.50994873046875,366.2300109863281,4.313576698303223,101.11917114257812,45.711517333984375
2019-03-26,44.744346618652344,111.38722229003906,59.20892333984375,89.18800354003906,17.851333618164062,166.8934326171875,359.9700012207031,4.39027738571167,101.87479400634766,46.28312683105469
2019-03-27,45.146785736083984,110.3102798461914,58.620243072509766,88.28500366210938,18.32200050354004,165.0919189453125,353.3699951171875,4.381093978881836,101.16277313232422,46.04062271118164
2019-03-28,45.2066764831543,110.4614486694336,58.33460235595703,88.6709976196289,18.57466697692871,164.7734375,354.6099853515625,4.3997087478637695,101.65681457519531,45.99732208251953
2019-03-29,45.50131607055664,111.41557312011719,58.564510345458984,89.0374984741211,18.657333374023438,165.9080810546875,356.55999755859375,4.457047462463379,102.51412200927734,46.508304595947266
2019-04-01,45.810325622558594,112.43582153320312,59.663753509521484,90.70950317382812,19.278667449951172,167.9086456298828,366.9599914550781,4.524564743041992,104.11251831054688,47.20981979370117
2019-04-02,46.47625732421875,112.5964126586914,59.99018859863281,90.6989974975586,19.058666229248047,173.38282775878906,367.7200012207031,4.542436122894287,103.89453125,47.07991409301758
2019-04-03,46.79484939575195,113.33326721191406,60.252437591552734,91.03500366210938,19.45400047302246,172.72593688964844,369.75,4.6819353103637695,104.35226440429688,48.049922943115234
2019-04-04,46.87629699707031,112.75701141357422,60.68238067626953,90.94300079345703,17.851999282836914,175.19432067871094,367.8800048828125,4.673001289367676,103.73470306396484,48.43098449707031
2019-04-05,47.19009017944336,113.25767517089844,60.28428649902344,91.86399841308594,18.33066749572754,174.8957061767578,365.489990234375,4.739770889282227,104.09798431396484,48.15384292602539
2019-04-08,47.93268585205078,113.29547119140625,60.12653732299805,92.49299621582031,18.213333129882812,174.1094207763672,361.4100036621094,4.760622024536133,104.17788696289062,48.22313690185547
2019-04-09,47.7889518737793,112.68144226074219,59.848365783691406,91.79199981689453,18.15399932861328,176.7469940185547,364.7099914550781,4.697822570800781,103.24794006347656,47.91134262084961
2019-04-10,48.0572395324707,113.54108428955078,60.03547668457031,92.36650085449219,18.40399932861328,176.98585510253906,363.9200134277344,4.76831579208374,103.90909576416016,48.283756256103516
2019-04-11,47.657203674316406,113.67334747314453,60.19173049926758,92.20349884033203,17.89466667175293,176.67730712890625,367.6499938964844,4.7544169425964355,104.46123504638672,48.327064514160156
2019-04-12,47.6380500793457,114.2590560913086,60.845603942871094,92.15299987792969,17.84666633605957,178.25987243652344,351.1400146484375,4.716438293457031,104.8753433227539,48.8640251159668
2019-04-15,47.72427749633789,114.35353088378906,61.034698486328125,92.24349975585938,17.7586669921875,178.80728149414062,348.8699951171875,4.5846333503723145,104.54840850830078,48.742774963378906
2019-04-16,47.729061126708984,114.08898162841797,61.30241394042969,93.1520004272461,18.224000930786133,178.03094482421875,359.4599914550781,4.671757698059082,105.44932556152344,49.115203857421875
2019-04-17,48.658485412597656,115.03367614746094,61.71195983886719,93.24099731445312,18.082000732421875,177.9413604736328,354.739990234375,4.648922443389893,101.06832885742188,50.717437744140625
2019-04-18,48.83335876464844,116.54517364501953,61.77814483642578,93.08450317382812,18.21733283996582,177.44371032714844,360.3500061035156,4.624349117279053,101.95468139648438,50.656803131103516
2019-04-22,48.99385452270508,116.91361236572266,62.38972091674805,94.3655014038086,17.516666412353516,180.58889770507812,377.3399963378906,4.6782121658325195,100.90847778320312,50.942604064941406
2019-04-23,49.70051193237305,118.50064849853516,63.227210998535156,96.1884994506836,17.593332290649414,182.9178924560547,381.8900146484375,4.732822418212891,102.03460693359375,50.907962799072266
2019-04-24,49.62385940551758,118.0944595336914,62.702720642089844,95.0875015258789,17.243999481201172,181.72354125976562,374.2300109863281,4.745231628417969,101.67861938476562,50.85600662231445
2019-04-25,49.17352294921875,122.00542449951172,63.065486907958984,95.11250305175781,16.5086669921875,192.3534393310547,368.3299865722656,4.639489650726318,100.7195816040039,49.8946647644043
2019-04-26,48.93876266479492,122.7044906616211,63.56708526611328,97.53150177001953,15.675999641418457,190.59173583984375,374.8500061035156,4.420559883117676,101.30809020996094,45.408390045166016
2019-04-29,49.01302719116211,122.59112548828125,64.50161743164062,96.92150115966797,16.097999572753906,193.86631774902344,371.8299865722656,4.4513373374938965,101.02472686767578,44.26516342163086
2019-04-30,48.069217681884766,123.3752212524414,59.662757873535156,96.32599639892578,15.912667274475098,192.49276733398438,370.5400085449219,4.492792129516602,101.91108703613281,44.20454406738281
2019-05-01,50.42872619628906,120.80567932128906,58.3868522644043,95.57599639892578,15.600666999816895,192.12451171875,378.80999755859375,4.479636192321777,102.1218032836914,43.96202850341797
2019-05-02,50.10055160522461,119.22806549072266,58.047977447509766,95.04100036621094,16.273332595825195,191.62686157226562,379.05999755859375,4.547152042388916,101.41706085205078,43.780155181884766
2019-05-03,50.72336959838867,121.76927185058594,59.194496154785156,98.12300109863281,17.00200080871582,194.55307006835938,385.0299987792969,4.542685031890869,101.89657592773438,44.8194465637207
2019-05-06,49.940059661865234,121.06075286865234,59.38906478881836,97.52749633789062,17.022666931152344,192.9705352783203,378.6700134277344,4.4642462730407715,101.99100494384766,44.632110595703125
2019-05-07,48.59380340576172,118.57623291015625,58.66253662109375,96.05000305175781,16.470666885375977,188.8798065185547,370.4599914550781,4.296946048736572,100.00032043457031,43.987281799316406
